"Car Name","Car Price","Car Mileage","Monthly Payment","Car Location","Phone Number","Car Engine"
"2019 Jaguar XF 25t Prestige AWD","$32,450","115,000 km","Est. $537/mo.*","North York, ON","(647) 559-2543","247 hp 2L I4"
"2021 Toyota Corolla SE FWD","$23,992","21,396 km","Est. $397/mo.*","Ottawa, ON","(613) 707-7604","2L I4"
"2018 Toyota Corolla LE","$18,300","61,000 km","Est. $303/mo.*","New Westminster, BC","(604) 239-1356","132 hp 1.8L I4"
"2018 Honda Civic EX with Honda Sensing","$19,900","74,282 km","Est. $329/mo.*","Vancouver, BC","(604) 670-8593","158 hp 2L I4"
"2022 Honda Civic Touring FWD","$25,995","89,820 km","Est. $430/mo.*","Toronto, ON","(833) 973-1610","180 hp 1.5L I4"
"2019 Dodge Charger SRT Hellcat RWD","$85,995","24,911 km","Est. $1,422/mo.*","Boisbriand, QC","(844) 402-5690","707 hp 6.2L V8"
"2019 BMW 7 Series Alpina B7 xDrive AWD","$55,799","45,444 km","Est. $923/mo.*","Surrey, BC","(604) 337-2509","600 hp 4.4L V8"
"2021 Audi RS 5 Sportback 2.9T quattro AWD","$83,999","45,050 km","Est. $1,389/mo.*","Stittsville, ON","(613) 801-2322","444 hp 2.9L V6"
"2011 Lincoln Town Car Signature Limited","$3,995","242,217 km","Est. $67/mo.*","London, ON","(844) 418-1062","239 hp 4.6L V8 Flex Fuel Vehicle"
"2013 Subaru Impreza WRX Limited","$14,990","139,000 km","Est. $248/mo.*","Halifax, NS","(833) 783-1071","265 hp 2.5L H4"
"2018 Volvo S60 T5 Dynamic AWD","$23,995","62,856 km","Est. $397/mo.*","Mississauga, ON","(604) 265-7764","240 hp 2L I4"
"2023 Audi SQ5 Sportback 3.0T quattro Prestige AWD","$74,995","2,000 km","Est. $1,240/mo.*","Nanaimo, BC","No Information Found","349 hp 3L V6"
"2017 Honda Accord V6 Touring FWD","$21,990","70,000 km","Est. $364/mo.*","New Westminster, BC","No Information Found","278 hp 3.5L V6"
"2024 Acura Integra Type S FWD","$65,999","2,499 km","Est. $1,091/mo.*","Saskatoon, SK","No Information Found","320 hp 2L I4"
"2022 Audi S4 3.0T quattro Prestige AWD","$64,850","17,136 km","Est. $1,072/mo.*","Surrey, BC","No Information Found","349 hp 3L V6"
"2019 Jaguar XF 25t Prestige AWD","$32,450","115,000 km","Est. $537/mo.*","North York, ON","(647) 559-2543","247 hp 2L I4"
"2019 Honda Civic Touring FWD","$23,700","83,546 km","Est. $392/mo.*","Calgary, AB","(877) 511-5516","130 hp 1.6L I4"
"2022 Hyundai Sonata Sport FWD","$30,000","39,995 km","Est. $496/mo.*","Surrey, BC","(844) 647-0018","138 hp 1.4L I4"
"2019 Hyundai Accent","$9,995","234,002 km","Est. $166/mo.*","Toronto, ON","(877) 511-5516","186 hp 2.5L I4"
"2016 Chevrolet Cruze Limited 2LT FWD","$10,700","121,764 km","Est. $177/mo.*","Calgary, AB","(866) 595-0343","149 hp 2L I4"
"2020 Mazda MAZDA3 Select Sedan AWD","$24,999","34,024 km","Est. $414/mo.*","Calgary, AB","(844) 418-1062","3.5L V6"
"2020 Nissan Sentra SR FWD","$20,995","21,687 km","Est. $347/mo.*","London, ON","(647) 492-5487","188 hp 2L I4 Hybrid"
"2019 Toyota Avalon","$28,777","102,000 km","Est. $476/mo.*","York, ON","(902) 903-2392","365 hp 3.3L V6"
"2016 Lincoln MKZ Hybrid FWD","$19,995","31,985 km","Est. $331/mo.*","Saint-Prosper, QC","(844) 418-1062","158 hp 2L I4"
"2020 Genesis G80","$38,595","48,022 km","Est. $638/mo.*","Antigonish, NS","(833) 478-0786","300 hp 3.6L V6"
"2023 Honda Civic LX FWD","$28,999","12,146 km","Est. $480/mo.*","Port Moody, BC","No Information Found","268 hp 3.5L V6"
"2018 Chrysler 300 S RWD","$18,995","158,710 km","Est. $314/mo.*","St. Albert, AB","No Information Found","3.5L V6"
"2007 Mercedes-Benz E-Class E 350 4MATIC","$3,495","279,185 km","Est. $58/mo.*","London, ON","No Information Found","No Information Found"
"2022 Toyota Camry XSE V6 FWD","$39,860","25,743 km","Est. $659/mo.*","Red Deer, AB","No Information Found","No Information Found"
"2023 Genesis G80 2.5T Advanced AWD","$56,998","9,653 km","Est. $942/mo.*","Winnipeg, MB","No Information Found","No Information Found"
"2021 Volkswagen Passat 2.0T Highline FWD","$25,498","69,777 km","Est. $422/mo.*","Toronto, ON","(833) 314-0687","174 hp 1.5L I4"
"2020 Mercedes-Benz CLS-Class CLS AMG 53 4MATIC AWD","$66,850","61,786 km","Est. $1,105/mo.*","Calgary, AB","(587) 327-9516","429 hp 3L I6"
"2020 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD","$39,391","26,224 km","Est. $651/mo.*","Saskatoon, SK","(306) 517-6276","255 hp 2L I4"
"2020 Chevrolet Malibu LT FWD","$20,495","75,241 km","Est. $339/mo.*","Belleville, ON","(613) 704-6078","160 hp 1.5L I4"
"2022 Audi S3 2.0T quattro Technik AWD","$52,999","7,864 km","Est. $876/mo.*","Sherwood Park, AB","(587) 401-2297","300 hp 3.5L V6"
"2016 Nissan Maxima SV","$13,999","160,437 km","Est. $232/mo.*","Richmond, BC","(778) 601-8230","174 hp 1.5L I4"
"2021 Honda Civic Touring FWD","$28,315","33,781 km","Est. $468/mo.*","Huntsville, ON","(705) 535-1906","444 hp 2.9L V6"
"2024 Acura Integra Type S FWD","$67,895","993 km","Est. $1,123/mo.*","Saint-Jean-sur-Richelieu, QC","(819) 803-1183","192 hp 1.5L I4"
"2022 Audi S7 2.9T quattro Premium Plus AWD","$91,805","15,781 km","Est. $1,518/mo.*","Edmonton, AB","(587) 806-3690","255 hp 2L I4"
"2018 Honda Accord 1.5T Touring FWD","$26,880","66,000 km","Est. $445/mo.*","Toronto, ON","(236) 326-9471","292 hp 3.6L V6"
"2020 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD","$36,888","32,677 km","Est. $610/mo.*","Markham, ON","(647) 955-5736","435 hp 5.2L V10"
"2019 Dodge Charger Police RWD","$14,998","128,245 km","Est. $248/mo.*","Taber, AB","(647) 977-0317","No Information Found"
"2008 Audi S6 5.2 quattro Sedan AWD","$7,995","161,643 km","Est. $133/mo.*","Newmarket, ON","No Information Found","No Information Found"
"2014 Volkswagen Jetta Comfortline","$9,495","121,300 km","Est. $157/mo.*","St. Catharines, ON","No Information Found","No Information Found"
"2020 Hyundai Elantra Preferred FWD","$16,995","70,595 km","Est. $281/mo.*","Toronto, ON","No Information Found","No Information Found"
"2020 Volvo S60 T6 R-Design AWD","$35,999","42,900 km","Est. $595/mo.*","Brampton, ON","(877) 799-3662","316 hp 2L I4"
"2017 Honda Civic Touring","$18,995","86,780 km","Est. $314/mo.*","Temiskaming Shores, ON","(877) 511-5516","174 hp 1.5L I4"
"2022 Honda Civic EX FWD","$21,700","168,654 km","Est. $359/mo.*","Calgary, AB","(604) 332-0217","180 hp 1.5L I4"
"2022 Chrysler 300 Touring L AWD","$39,990","14,000 km","Est. $661/mo.*","New Westminster, BC","(833) 981-3130","292 hp 3.6L V6"
"2021 BMW 2 Series 228i xDrive Gran Coupe AWD","$32,990","15,363 km","Est. $546/mo.*","Toronto, ON","(844) 938-2881","228 hp 2L I4"
"2020 Kia Forte EX FWD","$16,950","171,830 km","Est. $281/mo.*","Ottawa, ON","(204) 817-7507","147 hp 2L I4"
"2015 Chevrolet Impala 2LT FWD","$12,995","218,595 km","Est. $215/mo.*","Headingley, MB","(647) 560-3943","305 hp 3.6L V6 Flex Fuel Vehicle"
"2020 Toyota Corolla SE FWD","$22,988","33,826 km","Est. $380/mo.*","Woodbridge, ON","(833) 211-3661","2L I4"
"2023 BMW 2 Series M235i xDrive Gran Coupe AWD","$54,995","16,416 km","Est. $909/mo.*","Calgary, AB","(778) 721-5528","302 hp 2L I4"
"2012 BMW 7 Series 750i xDrive AWD","$14,999","116,999 km","Est. $248/mo.*","Oakville, ON","(819) 272-3155","400 hp 4.4L V8"
"2020 Mercedes-Benz CLS-Class CLS AMG 53 4MATIC AWD","$69,998","35,957 km","Est. $1,157/mo.*","Kelowna, BC","(778) 762-0359","429 hp 3L I6"
"2020 Toyota Corolla LE FWD","$21,994","29,771 km","Est. $364/mo.*","Gatineau, QC","(431) 341-2794","1.8L I4"
"2016 Chevrolet Cruze LS Sedan FWD","$12,999","68,968 km","Est. $215/mo.*","Edmonton, AB","No Information Found","153 hp 1.4L I4"
"2018 BMW M3 Sedan RWD","$68,704","42,787 km","Est. $1,136/mo.*","Abbotsford, BC","No Information Found","425 hp 3L I6"
"2014 Jaguar XJ-Series XJ AWD","$19,997","135,000 km","Est. $331/mo.*","Brampton, ON","No Information Found","340 hp 3L V6"
